country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,year_2018
Afghanistan,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,530,560,600,630,670,710,740,770
Angola,3300,4000,4900,5700,6600,7600,8500,9600,10000,12000,13000,13000,15000,15000,16000,17000,18000,18000,19000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
Argentina,4900,5400,5800,6100,6200,6300,6300,6300,6300,6100,6000,5900,5900,6000,6000,6000,6100,6100,6200,6200,6300,6300,6300,6300,6400,6400,6400,6400,6400
Armenia,100,100,100,100,100,100,100,200,200,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200
Australia,790,800,810,820,830,840,840,850,850,860,860,870,870,880,880,890,900,920,930,950,960,980,990,1000,1000,1000,1000,1000,1000
Burundi,20000,19000,17000,14000,12000,10000,8400,6900,6000,5100,4400,4000,3300,3100,2900,2700,2500,2300,2200,2000,1900,1800,1600,1500,1400,1300,1200,1000,850
Benin,1600,2400,3400,4400,5300,5800,5700,5600,5300,5000,4700,4400,4300,4100,3900,3900,3800,3800,3800,3600,3600,3500,3500,3500,3600,3500,3300,3300,3300
Burkina Faso,18000,16000,14000,12000,11000,9200,7700,7600,6900,6200,5700,5300,5000,4600,4400,4100,3800,3600,3400,3200,2900,2700,2500,2400,2300,2100,2000,1900,1700
Bangladesh,100,100,100,100,100,100,100,200,200,200,500,500,560,710,830,940,960,960,960,970,970,960,1100,1100,1200,1300,1400,1400,1500
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500
"Bahamas, The",500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200
Bosnia and Herzegovina,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,200,200,500,500,500,540,700,890,1100,1300,1400,1500,1600,1700,1900,2000,2100,2200,2300,2300,2200,2100,1900
Belize,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Bolivia,200,500,520,860,1400,2100,3000,3600,3700,3600,3400,3100,2600,2100,1900,1400,1200,990,1100,1000,1000,1100,1100,1200,1200,1300,1300,1300,1300
Barbados,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bhutan,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100
Botswana,15000,20000,24000,28000,31000,32000,32000,30000,27000,24000,22000,20000,18000,17000,15000,14000,14000,13000,13000,12000,11000,11000,10000,9500,9300,9200,8800,8400,8200
Central African Republic,20000,19000,18000,16000,15000,15000,13000,13000,12000,11000,11000,10000,9500,9300,8800,8600,8300,7900,7700,7300,6900,6700,6400,6100,5800,5300,5000,4700,4400
Chile,720,850,970,1100,1200,1400,1500,1600,1800,1900,2100,2100,2300,2400,2500,2700,2800,3000,3200,3500,3700,3900,4100,4200,4300,4500,4700,4900,4900
Cote d'Ivoire,61000,66000,67000,64000,60000,55000,51000,46000,42000,39000,36000,33000,31000,28000,26000,24000,23000,22000,21000,20000,19000,19000,19000,18000,17000,17000,16000,15000,14000
Cameroon,14000,18000,23000,28000,34000,38000,43000,46000,47000,47000,45000,42000,39000,36000,34000,33000,31000,30000,30000,29000,28000,27000,25000,24000,24000,23000,22000,21000,19000
"Congo, Dem. Rep.",47000,47000,47000,46000,44000,41000,40000,37000,35000,33000,31000,29000,28000,26000,25000,24000,23000,22000,21000,20000,18000,17000,17000,16000,15000,14000,14000,13000,12000
"Congo, Rep.",10000,8900,9300,7200,6800,5900,5600,5100,4900,5300,4900,4700,4600,4500,4100,4600,4300,4200,4400,4700,4400,4500,4400,4400,4300,4400,4200,4100,4100
Colombia,7400,8900,10000,11000,12000,12000,12000,12000,12000,12000,11000,8900,8000,7700,7600,7800,7900,7400,6900,7000,8200,8200,8000,7800,7700,7400,7100,6800,6400
Comoros,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cabo Verde,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100
Costa Rica,500,500,500,500,500,500,500,500,500,500,510,540,570,600,630,670,700,730,760,790,820,850,870,900,920,940,960,980,1000
Cuba,200,200,500,500,500,500,500,500,560,650,750,860,1000,1100,1300,1400,1600,1800,1900,2100,2200,2300,2300,2300,2300,2200,2000,1900,1700
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500
Germany,3600,3000,2700,2100,2100,2000,2000,2000,1900,1700,1800,2300,2800,3100,3700,3900,4000,3900,3300,3100,2900,2800,2900,3000,3000,2900,2900,2600,2600
Djibouti,200,500,500,640,820,990,1100,1200,1300,1300,1200,1000,870,670,520,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Denmark,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200
Dominican Republic,7800,8000,8600,9400,9300,9700,9200,8700,8500,7600,7000,6000,5300,4700,4200,4500,3600,3400,3200,3100,2900,2900,2800,2800,2800,2800,2700,2700,2600
Algeria,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,550,620,680,760,860,950,1000,1100,1200,1200,1300,1300,1200,1200
Ecuador,2200,2300,2400,2400,2500,2500,2600,2600,2700,2800,2600,2200,2400,2300,2500,2500,2600,2400,2500,2400,2400,2400,2400,2400,2400,2400,2300,2200,2200
