country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,year_2018
Afghanistan,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500
Angola,1200,1600,2100,2700,3300,4200,5100,6100,7300,8600,10000,12000,13000,15000,17000,19000,21000,23000,24000,26000,28000,30000,32000,33000,34000,34000,36000,37000,38000
Argentina,500,600,780,980,1200,1400,1600,1800,2100,2200,2400,2600,2700,2900,2900,3000,3000,3000,2900,2800,2700,2600,2500,2400,2200,2100,2000,1900,1800
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burundi,8900,11000,14000,16000,18000,20000,22000,23000,24000,25000,26000,26000,26000,26000,25000,24000,23000,22000,21000,20000,19000,18000,17000,16000,15000,14000,13000,12000,11000
Benin,500,500,570,850,1200,1600,2000,2400,2800,3300,3700,4100,4400,4800,5100,5400,5600,5700,5700,5700,5700,5700,5700,5600,5500,5200,5000,4800,4600
Burkina Faso,8700,10000,12000,14000,15000,17000,18000,19000,20000,21000,21000,22000,22000,21000,21000,20000,20000,19000,18000,17000,16000,16000,15000,14000,13000,12000,11000,9700,9100
Bangladesh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500,500,500,500,500
"Bahamas, The",500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500
Belize,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bolivia,100,100,100,100,100,200,500,500,500,530,640,740,830,910,980,1000,1100,1100,1100,1100,1000,1000,970,910,860,790,720,670,620
Botswana,2700,4000,5600,7500,9600,12000,15000,17000,20000,22000,24000,25000,26000,27000,28000,28000,28000,28000,27000,26000,25000,24000,23000,21000,20000,19000,18000,16000,14000
Central African Republic,3300,4500,5800,7100,8400,9800,11000,12000,14000,15000,16000,16000,17000,18000,18000,18000,18000,17000,17000,17000,16000,16000,15000,14000,14000,13000,12000,11000,11000
Chile,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500
Cote d'Ivoire,15000,20000,24000,29000,34000,38000,43000,47000,50000,53000,56000,57000,59000,59000,59000,58000,58000,56000,53000,50000,48000,46000,44000,42000,40000,38000,36000,33000,31000
Cameroon,3700,5100,6700,8800,11000,14000,18000,21000,25000,29000,32000,36000,40000,43000,46000,49000,51000,53000,54000,55000,55000,55000,54000,53000,52000,49000,47000,45000,43000
"Congo, Dem. Rep.",32000,38000,44000,50000,56000,62000,67000,71000,75000,79000,81000,84000,86000,87000,87000,88000,87000,87000,86000,84000,83000,81000,79000,76000,73000,70000,68000,66000,64000
"Congo, Rep.",2100,2700,3300,3900,4500,5100,5600,6100,6600,7100,7500,7800,8000,8200,8300,8300,8300,8300,8200,8200,8200,8100,8100,8000,8000,7900,7900,7900,7700
Colombia,630,930,1300,1700,2200,2700,3200,3700,4200,4700,5000,5400,5600,5800,5900,5900,5900,5800,5600,5500,5200,5000,4800,4500,4200,4000,3900,3700,3600
Cuba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200
Djibouti,100,100,100,200,500,500,500,520,630,750,860,970,1100,1100,1200,1200,1300,1300,1300,1300,1200,1200,1100,1100,1000,980,910,860,810
Dominican Republic,780,1000,1300,1600,1800,2100,2400,2600,2800,3000,3200,3300,3400,3400,3400,3300,3100,3000,2800,2700,2600,2400,2300,2200,2000,1800,1700,1600,1400
Algeria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500
Ecuador,100,100,100,200,200,200,500,500,500,500,500,500,500,510,540,560,580,600,600,620,640,650,660,660,660,660,670,660,660
"Egypt, Arab Rep.",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500,500,500,500
Eritrea,500,630,780,920,1100,1200,1300,1400,1500,1600,1600,1700,1800,1900,1900,1900,1900,1900,1800,1800,1800,1700,1700,1600,1500,1500,1400,1400,1300
Spain,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,17000,22000,28000,35000,41000,47000,53000,58000,63000,67000,70000,73000,74000,75000,74000,73000,71000,68000,64000,61000,58000,54000,51000,48000,45000,42000,40000,38000,36000
France,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500
Gabon,500,500,500,630,800,1000,1200,1400,1700,1900,2100,2300,2500,2700,2900,3000,3200,3300,3300,3400,3400,3500,3500,3400,3400,3400,3300,3300,3200
Ghana,6600,8400,11000,13000,15000,18000,20000,23000,25000,28000,30000,32000,33000,34000,36000,36000,37000,37000,36000,36000,36000,35000,34000,34000,33000,33000,32000,31000,30000
Guinea,1600,2100,2700,3300,4100,4900,5700,6500,7300,8100,8800,9400,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,10000
"Gambia, The",100,100,100,200,200,500,500,500,500,570,680,790,900,1000,1100,1200,1300,1400,1500,1500,1600,1600,1600,1700,1800,1800,1800,1800,1900
Guinea-Bissau,200,500,500,560,770,1000,1300,1600,2000,2300,2700,3100,3400,3800,4200,4500,4700,5000,5200,5400,5600,5700,5800,5800,5800,5900,5800,5700,5700
Equatorial Guinea,200,200,500,500,500,540,670,810,970,1100,1300,1500,1700,2000,2200,2400,2600,2900,3200,3400,3700,4000,4300,4500,4600,4900,5000,5100,5300
Guatemala,850,1100,1400,1600,1900,2200,2500,2800,3000,3200,3400,3600,3700,3800,3800,3800,3700,3600,3500,3300,3200,3000,2900,2700,2500,2400,2300,2100,2000
Guyana,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500
Honduras,1100,1300,1600,1800,2000,2200,2300,2500,2600,2600,2600,2600,2600,2500,2300,2200,2100,2000,1800,1700,1600,1500,1400,1300,1200,1100,1100,970,890
Haiti,4800,5900,7100,8200,9200,10000,11000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,13000,13000,12000,12000,11000,11000,10000,10000,9700,9300,9000,8700
Indonesia,100,100,100,100,100,100,200,200,500,500,690,1000,1400,2000,2700,3600,4600,5600,6800,8000,9300,11000,12000,13000,14000,15000,16000,17000,18000
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Iran, Islamic Rep.",200,500,500,500,500,500,500,500,500,500,550,590,630,660,700,710,730,750,770,800,830,850,860,880,890,900,900,890,880
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,200,200,200,200,200,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500
