Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,16.65699959,,,17.88076019,19.65283966,,26.37323952,32.70611954,,,17.89102936,18.57060051,,,,,,,,27.57517052,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,42.94057083,37.20602036,,,,,,,,,29.20000076,,,,,,,,,,,,,,,,,39.19701,38.78758,39.80721,46.18715,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58609009,,,,96.58269,96.39394,,94.44817,93.4378,,,96.19241,92.39359,91.05149,88.83624,92.98266,98.67213,89.53918,100.9847,98.86159,99.88155,101.9837,101.5379,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,49.1357193,49.05432129,48.69493103,50.20529175,51.69678879,54.69984055,56.30582047,58.36880112,57.7227211,53.49642944,56.54579926,59.97714996,60.72071075,61.8922081,64.25215912,68.30731201,67.36876678,67.27323914,67.73191833,67.91990662,69.26254272,69.28807068,70.07372284,70.30445099,71.16400909,72.20207214,73.25231934,74.11203003,75.12400818,76.00340271,75.54741669,76.56347656,77.41953278,79.82804108,81.66796875,82.69515228,80.90484619,82.70838165,84.57465363,82.89109802,84.36583,85.17569,87.03526,85.06061,85.99188,85.61407,85.12254,84.44785,84.96593,
United Arab Emirates,,,,,39.54042816,41.73529053,49.50407028,56.75738144,60.69887161,65.70791626,68.13439178,72.32185364,81.88111877,81.2938385,78.24465942,74.31791687,75.94766998,76.38062286,74.71659088,82.19580078,91.06539917,97.51193237,95.89749908,93.302948,91.96444702,89.86238098,85.7958374,87.8336792,85.29476929,83.75656128,80.28414,76.57745,80.73299,,,,,97.45089,,,,,93.94156,95.68699,99.14915,103.5202,,,,
Argentina,70.97234344,71.83389282,,,75.5764389,78.91168976,78.63954163,,,,,,,,,,,,,,,,,,98.57759857,,92.96325684,91.52876282,99.15171814,97.20204163,97.34647,96.82166,100.51583,98.16794,96.57995,94.64183,97.10248,99.86782,103.14217,103.30387,103.5674,103.8877,103.3522,101.645,103.1064,102.9737,103.8936,99.96276,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,108.2638016,,,93.89550018,,,,,93.70576,89.27111,100.04747,92.69158,93.81121,102.06971,105.79289,,94.49523,93.80897,93.85169,,96.65223,94.59064,90.75161,91.98771,89.87896,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,78.64849854,79.98853302,,,,,,,,,,,,,,,,85.85056305,,,,,,,,,,,,,,,,110.5548,101.2633,106.6099,103.6769,,,111.1503,92.55548,,98.18578,96.19883,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,94.99665833,96.87254333,97.06210327,,,,,,,,,,,,,,,,,,,,,,,,,100.917717,100.8748779,,,100.2222,,98.7443,,,,,,,96.77202,96.69372,97.60601,98.69185,100.3738,99.65672,99.45318,,
